mint	transitions_per_hour	transition_count	grid_points
6td9vBokn7L7ELewY26Cst4DKdFPEXkLB28Fybhox5Br	0.00000000	0	2
6tfuT6jVrG6aV4zX8whBTY4D7wGRDiirn3Gp8L4tpump	0.00000000	0	2
6w3zcz4qyT1Q9aTtaM2n97AD3tCbz2JEoftSqzQepump	0.00000000	0	2
6znizk6RVY7ByRtVuQoVxCZnAD6siBpti7FFfkPhBAGS	0.00000000	0	2
72NTbVWqvCxmGARj3zjEzFDybGJ5ehrgLcT1DfRdcwFH	0.00000000	0	2
76477t8rcKysJ1RNqwDqDMcG55TYHqB4NfqbSBCpajXU	0.00000000	0	2
76bzTfvXbxfaGKwHUgo5PHn9KTeQ5xTwgh9PErFatRRX	0.00000000	0	2
798Mdv8oB6866tasJr3Kye8MwD8fKwEuouY8buK9pump	0.00000000	0	2
79cm2rFTnRSjJubaAx3V2anc7uKiCkvd58RkkDRFCUSA	0.00000000	0	2
7CrRyDkHrjiPhXhyZR2fqkmqifFQU23LvyaZuAfFpump	0.00000000	0	9
7GJw4i1LX6JsiY4C9Kcp5hRnoXrrEwsCioN2Kuvm35zJ	0.00000000	0	42
7NyDkcmRshSeT97PxhKvuFPuUvBHixUwaKfv6dTnpump	0.00000000	0	2
7Q3tZ3ykD4wz24FnEcDpAUyGPweqhCyvURQJd5f5FaP6	0.00000000	0	2
7URaAgiswNsFV6c4CbN8fWVQb7yi1YtRqCUgCgEipump	0.00000000	0	2
7ahcvAHVkB7eo95wDmnH4XZYzDkB9ggaprt55TWmpump	0.00000000	0	16
7cXEvhvpgh9Cu82VB4EGAKpVJRPBrcHC3Yen8fePpump	0.00000000	0	41
7emqpM8J4xx2yAaZXWf58fJpEtuUXzkQuZrFUvoepump	0.00000000	0	2
7gASrhXxE5u2oLASrAsZh3SAJrgSjKhb4qTe3FsqHTKb	0.00000000	0	1365
7hBqjJVAS5EZRByvjZRxYEWd1gmtaXNoSjqE3ojJBAGS	0.00000000	0	26
7iX4yQ4zTraFSRXEGpF89emA9xGrhgv6jX57dMENpump	0.00000000	0	3534
7kAux1bLGB68VzisQaaXiNKg3sjP89uDDotpuKmTpump	0.00000000	0	2
7karUWvThwhCPmdaa1EuP6NgjmJvA5eKTKK1GaiFpump	0.00000000	0	3229
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs	0.00000000	0	2
7zRaYBkbqAfLips9q3j6FQUbMgmg5QeRCuph4xatpump	0.00000000	0	16
82284UCAWMMoEwci9JTEDQ33pTgP8nTjuJEuRp5qsurg	0.00000000	0	2
822Xz33W1h8w4gXBUwHLpH74TJibNyRMYLfv3CrBpmHK	0.00000000	0	2
