wallet	window	side	transition_type	event_time	amount_lamports	supporting_flow_count	flow_ref
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei	lifetime	buy	ENTER	1769138678	15021534080	1	3XC6aWUvSHSN7rWkgiaxUUmqiZpcRBAox62yo7LyqQFSq5c64hDkSkjnNFk7QyNE1izPEXXjJTqU8W2ie3DX5E1y
3BLjRcxWGtR7WRshJ3hL25U3RjWr5Ud98wMcczQqk4Ei	lifetime	sell	ENTER	1769172887	10979737473	1	64vFV3p2PbSPyd33HS11HydE9emp7nrERYWLcfYcrdR7NqNarvc4bbyHYt88JPMoTx84ig2QFQgUDhq5iQPTzfKS
3H9LVHarjBoZ2YPEsgFbVD1zuERCGwfp4AeyHoHsFSEC	24h	buy	ENTER	1769196919	69018208014	18	4iXh9M8bzYy5rp4sZuHPeowNed17xmCB71Qi6xNod8VfQhUKPtQn3mWXu3mmFkPmda5mHZVWoVLcs8GmKrnqd76D
3H9LVHarjBoZ2YPEsgFbVD1zuERCGwfp4AeyHoHsFSEC	24h	sell	ENTER	1769193695	128337438821	5	35zP9uLUSskH6L6oyo6UdG5EFNntyXrn9YUvssgG4EGSPguX5JwsXrhZxa7X8LRZcPCDBxif1CkDxkWGuwoNjmHH
3H9LVHarjBoZ2YPEsgFbVD1zuERCGwfp4AeyHoHsFSEC	7d	buy	ENTER	1769213365	671027304968	30	5NRnpokDutnma858W7z6YCGkiAhyGLrv9ifvqrKPRrBz8wuWZQSQqpXqpUzwofMzFRNnLvixkw5MTqvTSeACu98Y
3H9LVHarjBoZ2YPEsgFbVD1zuERCGwfp4AeyHoHsFSEC	7d	sell	ENTER	1769206319	220173811417	13	2h6dSvgsXtyfsSrHVdoWq7NCtLbmwWWVHrUpY7s7YoTxxZfofmN7zVhirzcZAcBCgzeec2Zwx9SrBkdMiWFNsmdN
3H9LVHarjBoZ2YPEsgFbVD1zuERCGwfp4AeyHoHsFSEC	lifetime	buy	ENTER	1769139497	12002279080	1	4QL4KZfZDtBiYfC7fEXhxqjyCfsNDy3hMGS36SeksUYxNNmJRWntDLcMVj2Q5pc9LZP3X6esEXJvagHx4sBZbWwb
3H9LVHarjBoZ2YPEsgFbVD1zuERCGwfp4AeyHoHsFSEC	lifetime	sell	ENTER	1769140860	13122213316	1	wawgg3Nd1gxXvj3gomATanYKmntezUsPa6hKhp7qNvAfuYEUBJyzYfcvakB3KssvkdbtH8zd5oVdHZ58S4ub7Xu
3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww	24h	buy	ENTER	1769152403	51216934875	32	2BvJHXxiFcQLVnF8Tr6zBhT1Bv6zUcbbtumYC3rvcVpuiJ94dpyidBSm2mw2VgZSqvky2dog1tc72ntbEt1yeLbg
3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww	24h	sell	ENTER	1769151905	50369102316	37	4XnuDQJAkN9TR4k7Vxr2rtdMbGructX4Dx4xo79LLW2VndTj92cFhThUZYEP3hP5VfNcNY8JTvqnFrTsCXQgEiiU
3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww	7d	buy	ENTER	1769260383	200451553967	166	5hwZceUeshFBSmRHSko1jA5TDqNVAAmHPLUeq5nS4HSMGTg7WXdGQYAa9TUHkTqwan4v2hbXbtY7kBikYKgk3eoE
3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww	7d	sell	ENTER	1769253839	200600142605	194	5PKFbq9JzhKyZRC1nS9B2oBTAqxxiZU4RSjqG5ZJh5Bs4ihMnJTvwr3ATBwMjN7hdnkBSCavhkMvrQWeK4SmdvyV
3LUfv2u5yzsDtUzPdsSJ7ygPBuqwfycMkjpNreRR2Yww	lifetime	buy	ENTER	1769299805	10032079080	1	SBLwWFVNLrxdr6bAMyruyBGW2Ppg6Dfok6sqh2w3vCrYS4gqGcrxaKdCuM41kQfvkHLJH1peRaWxaHU6Y9gHs4g
3LYtEmYerFPeXgu1c9Y4553oMk2qVdcxiwWzDjzMkwPx	24h	buy	ENTER	1769335226	52228888104	40	3ME3WugGHHCfMrgYPRps9BmLeqPxMwdFg5TxmqNTUgzvmCGPhwB5a8Du48ij2DXYKf43XTkD19fGattJDxyEyMNh
3LYtEmYerFPeXgu1c9Y4553oMk2qVdcxiwWzDjzMkwPx	24h	sell	ENTER	1769335067	51250527731	58	GyPxf8AUn9ePmrmG8itpK3zqi2S7AGkZYNZQ3qXnTqh6kVBHCPhjEAGZaGPAhjd4KdQgcM3qw95vybVZZX8vUpc
3LYtEmYerFPeXgu1c9Y4553oMk2qVdcxiwWzDjzMkwPx	7d	buy	ENTER	1769584174	205927968056	107	5asJD86EZcTUoJjCGU195g4a119kR4p8UaSTYdL3RwdCc9qQVvz5VsfDLRgy95f2oVhXvzyuXZ9J8MABbZvCCndC
3LYtEmYerFPeXgu1c9Y4553oMk2qVdcxiwWzDjzMkwPx	7d	sell	ENTER	1769347036	203042726401	132	2w6auyRQYvdiiLCcYLtePUrWjmVfShP8eEVvjrtkS3HmjEfhRhmNatoufsg7sQMvT1EMbXwz63d2CLmf9awFdWsY
3LYtEmYerFPeXgu1c9Y4553oMk2qVdcxiwWzDjzMkwPx	lifetime	buy	ENTER	1769347500	10760579959	1	4cTuhSZrCbW7CPovhP2rwL7p2MnK65zFP8yLyzkVzU4N58YHitZPDZKP8hUmCiCyjJBfCz91du9wqrTdZUmCRZQ
3LYtEmYerFPeXgu1c9Y4553oMk2qVdcxiwWzDjzMkwPx	lifetime	sell	ENTER	1769597690	10021932630	1	3H9FeG1V14dN5c85gGATPirqBXzQqDsx8vgWHU3ThCxQeCyPVjGjuXzyh9cRpsJk8afYAYETrHS4bg3vKG31ACzb
3bzaJd5yZG73EVDz8xosQb7gfZm2LN5auFGh6wnP1n1f	24h	buy	ENTER	1769210990	57092361852	15	3SpVbjaLBuFHJymP99DJqofTKiSajdHbwgqPMBj2yoyWYx1GXw8upk23P5LuCW1mmkH4aN1fy4zEPnaZJ95EPux5
3bzaJd5yZG73EVDz8xosQb7gfZm2LN5auFGh6wnP1n1f	24h	sell	ENTER	1769210518	52366154875	11	57skmNoTb57TLVuVwjspw5c85SUeXv1xhbRXUBUwUDkRwLfykLoX7TBmMTWp2VjkT1AHxqY4t646d6MaFo8m2yiW
3bzaJd5yZG73EVDz8xosQb7gfZm2LN5auFGh6wnP1n1f	7d	buy	ENTER	1769364482	201009270826	71	c879b779pZDRtbz1TbAnCdHjA9EyDeWW2hxzKMx9eGwcbSLQMarKkhPByhZPmyKt4WmJpgWg8jnacSDfMyG5eQJ
3bzaJd5yZG73EVDz8xosQb7gfZm2LN5auFGh6wnP1n1f	7d	sell	ENTER	1769379446	200109466142	55	3uzN9Gp3iAeM8pkFHwBrjmV8SVKnfmgDBqvkZasLUJwotyRTRsyYN5v6AeZjPrnBir2aaAMUzsDJDfqjjjJyuhf8
3bzaJd5yZG73EVDz8xosQb7gfZm2LN5auFGh6wnP1n1f	lifetime	buy	ENTER	1769210984	10103005000	1	3aqx6xLwRoD5W2CK5DdqdgoQse3DViePbYLbdsDyzEY2AFNGgnYFqS2r8gxFYFBhp2upfHBxmHmpsZhHiJH6pRrd
3bzaJd5yZG73EVDz8xosQb7gfZm2LN5auFGh6wnP1n1f	lifetime	sell	ENTER	1769210513	25039968004	1	w4UwdcUzx8nQi4DUTunPbUJurMbrBgEnMmsAvj4sGZuecSn5nAAPnf17LiZZnwqTHgg7B7ZnE5HFLRQgqzCtAup
3h65MmPZksoKKyEpEjnWU2Yk2iYT5oZDNitGy5cTaxoE	24h	buy	ENTER	1769142243	50352804010	54	VmgW8yUFqchNukMQ5GC6GPBmG2nWxCWtjJNco1gfFy3XKTbD4kmnHqNYES5jnVJYjiuj8kmpPiCyGVuzPnCPLU4
